問題文	答え	メモ	ジャンル
日本語では「非晶質」という、原子などが不規則に配列した状態のことを何というでしょう？	アモルファス	逆に氷や金属などのように、原子などが規則正しく並んだ状態を「結晶」と言います。アモルファスの例としてはガラスなどが挙げらます。	
植物のおしべの先にある、花粉を入れるための袋状の器官のことを何というでしょう？	やく	漢字では「葯」と書きます。めしべの先にある器官は「柱頭」で、ここに花粉がつくことを受粉と言います。	
跳び箱などで使われる、バネの弾性を利用した踏切板のことを何というでしょう？	ロイター板	見たことあるけど名前が難しいパターンです。開発者のリチャード・ロイターが名前の由来です。	
『神奈川沖浪裏』『凱風快晴』などの作品が収められている、葛飾北斎の版画集の名前は何でしょう？	『富嶽三十六景』	富士山が描かれた綺麗な版画で有名です。「三十六景」とありますが、実際には46枚収められています。	
歯科検診などで虫歯を表す「C」とは、何という言葉の略でしょう？	カリエス	脊椎や骨などの骨髄組織が壊疽した状態を指す医学用語です。歯科用語としては虫歯を意味します。	
1077年、ローマ王ハインリヒ4世がローマ教皇グレゴリウス7世に赦しを願って、雪の中で3日間断食した出来事を「何の屈辱」というでしょう？	カノッサの屈辱	ハインリヒ4世が、対立していたグレゴリウス7世に破門されました。破門を解いてもらうために、カノッサ城の前で雪の中3日間断食しました。	
フランス語で「猫の舌」という意味があるフランスの伝統的なお菓子は何でしょう？	ラング・ド・シャ	"「外国語で?」と言う問題はよく出るクイズの1つです。「猫の舌」で押せるようにしましょう！
クイズによく出る語源問題は以下にまとめてあります！"	
ヘリウムやネオンなどが当てはまる、周期表で18族に属している元素のことを総称して何というでしょう？	貴ガス	「18族」とは周期表の18列目と言う意味です。ヘリウム・ネオン・アルゴン・クリプトン・キセノン・ラドンの6元素が当てはまります。その名の通り、全て常温・常圧で気体になります。元素に関するクイズは以下にまとめてあります。	
一般的に「肥料の三要素」と言われるのは、窒素、リンともう1つは何でしょう？	カリウム	"「並列問題」です。「読ませ押し」をしましょう！
3つまとめて覚える系の問題は以下にまとめてあります！"	
華族の爵位を辞退し続けたため「平民宰相」と呼ばれた、第19代内閣総理大臣を務めた人物は誰でしょう？	原敬	「平民宰相」のフレーズで有名です。また、暗殺された数少ない内閣総理大臣としても有名です。	
現在の日本で作られている硬貨の中で、唯一合金が使用されていないのはどれでしょう？	1円玉	1円玉はアルミニウムでできています。10円玉は青銅、50円玉と100円玉は白銅、500円玉はニッケル黄銅でできています。	
743年に発布された、自分で開墾した土地を永久的に自分のものにすることを認めた法律は何でしょう？	墾田永年私財法	墾田永年私財法の前は「三世一身法」という法律が適用されており、土地を開墾しても3代先の子孫までしか私有化が認められませんでした。この墾田永年私財法は、土地の永久私有化が認めることで農民に土地を開墾させる意欲を上げるのが目的でした。	
日本では学校で流れる「キンコンカンコン」のチャイムで知られる、イギリス・ロンドンが発祥のメロディを何というでしょう？	ウェストミンスターの鐘	誰もが聞いたことのあるメロディですが、名前は中々知られていません。こういった問題はクイズに狙われやすいです。	
日本語では「アホウドリ」という意味である、ゴルフにおいて基準打数より3少ない打数でカップに入れることを何というでしょう？	アルバトロス	ゴルフはコースごとに「基準打数」が決まっており、これより何打少ない/多い打数でカップに入れられたかでスコアが変わります。基準打数と同じ打数でカップに入れることを「パー」、1打少ない打数で入れることを「バーディー」、2打少ない打数で入れることを「イーグル」と言います。	
『禿山の一夜』や『展覧会の絵』などの作品で知られる、「ロシア5人組」の1人に数えられる作曲家は誰でしょう？	ムソルグスキー	「ロシア5人組」とはロシアで民主主義的な芸術音楽を志向した作曲家集団です。ミリイ・バラキレフ、ツェーザリ・キュイ、モデスト・ムソルグスキー、アレクサンドル・ボロディン、ニコライ・リムスキー＝コルサコフの5人のことです。ロシア5人組は以下の記事をチェック！	
「チーズアイ」と呼ばれる穴が存在する、アニメやマンガで度々登場する穴の開いたチーズの種類は何でしょう？	エメンタールチーズ	『トムとジェリー』などに登場するのが代表的です。チーズフォンデュに使われるチーズの一つです。	
「犯人は物語の当初に登場しなければならない」などを含む、推理小説を書く際の10のルールのことを、イギリスの推理作家の名前をとって「何の十戒」というでしょう？	ノックスの十戒	同じく小説を書く際のルールに「ヴァンダインの二十則」と言うものもあります。混合しないように注意しましょう。	
代表作に『若菜集』『破戒』などがある、日本ペンクラブの初代会長を務めた人物は誰でしょう？	島崎藤村	代表作の2つともよくクイズに出るので、両方とも覚えておきましょう。	
今までにオリンピックが開催されたドイツの都市とは、ベルリン、ミュンヘンともう1つはどこでしょう？	ガルミッシュ＝パルテンキルヒェン	「並列問題」ですが、ほとんどが「ガルミッシュ＝パルテンキルヒェン」が答えになります（マイナーなので）。長い名前のクイズは以下を参照してください。	
日本の国の鳥、すなわち「国鳥」はキジですが、国の蝶、すなわち「国蝶」は何でしょう？	オオムラサキ	「国鳥」と「国蝶」は口頭では区別できないため、「国の鳥」「国の蝶」という言い方をしています。	
SNSの「インスタグラム」。「インスタ」は「インスタント」の略ですが、「グラム」は何の略でしょう？	テレグラム	略語の正式名もクイズではよく出る問題です。「インスタント」は「簡単な、即座の」という意味で、「テレグラム」は「電報」という意味です。	
数珠の中心にある大きな玉から転じて、ある団体における中心的人物を指すようになった言葉は何でしょう？	親玉	語源が面白い問題もクイズでよく出題されます。	
「私はその人を常に先生と呼んでいた。」という書き出しで始まる、夏目漱石の小説は何でしょう？	『こゝろ』	クイズでよく出る「書き出し問題」です。書き出しで押せるようにしましょう！	
国際連盟の本部はジュネーブにありますが、国際連合の本部はどこにあるでしょう？	ニューヨーク	「ですが」が入るパラレル問題です。「連盟」と「連合」が強調されるのに注意しましょう。	
「ン」から始まる、アフリカの国チャドの首都はどこでしょう？	ンジャメナ	最後の問題ということで「ん」から始まる答えにしてみました。「ん」から始まる言葉は知識として面白いので、よくクイズに出題されます。	
今皆さんが行っているのはクイズですが、野球で三塁走者がいるときにバントをすることを何というでしょう？	スクイズ	"「クイズ」をかけた問題です。クイズではこのような言葉遊びが狙われることもあります。
「ですが問題」は以下から挑戦できます！"	
本屋に行くとトイレに行きたくなる現象のことを、『本の雑誌』に寄せられた投稿者名から何現象というでしょう？	青木まりこ現象	「青木まりこ」さんからの投稿が共感を呼び、このように名前がつきました。	
ソクラテスに師事し、「イデア論」や学園アカデメイアの設立で知られる古代ギリシアの哲学者は誰でしょう	プラトン	古代ギリシャの哲学者はよくクイズに出題されます。「イデア論」「アカデメイアの設立」とセットで覚えましょう。	
鳥のキウイはキウイ科ですが、果物のキウイは何科でしょう？	マタタビ科	赤太文字で書かれた箇所が強調して読まれます。「ですが」の問題については以下の記事をチェック！	
志摩半島、若狭湾、三陸海岸などで見られる、複雑な形状をした海岸のことを何というでしょう？	リアス(式)海岸	複数の例が示される「列挙問題」です。例示の時点で分かるとベストです。	
全長120mと世界で最も高いブロンズ像である、1992年に完成した茨城県の大仏は何でしょう？	牛久大仏	「最も高い」などの問題はよく出題されます。建物・山などは要暗記！	
その形状から「蜂の腰」とも呼ばれる、砂時計の細くなってる部分を何というでしょう？	オリフィス	「見たことあるけど名前を知らないもの」はよくクイズで出題されます。通称「あれの名前」問題は以下の記事をチェック！	
元々は『地獄の門』という作品の一部であった、彫刻家ロダンの代表作は何でしょう？	『考える人』	足を組んで考え事をしているような格好で有名です。あれは地獄の人々を眺めている場面と言われています。	
オリンピックに出場できる動物は人と何でしょう？	馬	"馬術がオリンピック競技にあるので、馬もオリンピックに出場しています。
「人」が答えになることはほぼないので、早めに押しちゃいましょう。"	
"証明者の名前から「ワイルズの定理」とも呼ばれる、「3 以上の自然数 n について、xn + yn = zn となる自然数の組 (x, y, z) は存在しない」という定理を、「何の最終定理」と呼ぶでしょう？"	フェルマーの最終定理	「定理」もよくクイズに出題されます。フェルマーのメモに記されたこの定理は、330年後にようやく証明されました。	
ラテン語で「白さ」という意味がある、みかんなどの柑橘類に見られる白い筋のことを何というでしょう？	アルベド	「あれの名前」問題です。かっこいい名前ですね。	
楚の商人が何でも貫く武器と、何でも防ぐ防具を売っていたという故事から生まれた、辻褄の合わないことを表す二字熟語は何でしょう？	矛盾	有名な故事成語です。何でも貫く矛となんでも防ぐ盾を打っていた商人は、「その矛でその盾を突いたらどうなるか」と聞かれて何も言えなくなったという話です。	
大きなテントや豪華な食事で行うキャンプを、「グラマラス」と「キャンピング」を組み合わせた言葉で何というでしょう？	グランピング	近年流行しているものもクイズに出題されます。「グラマラス」は「魅力的な」という意味です。	
一般的に「世界三大宗教」といえば、キリスト教、イスラム教ともう一つは何でしょう？	仏教	ヒンドゥー教と間違えやすい問題です。信者が多いのはヒンドゥー教ですが、ほとんどの信者がインド人なので世界的な宗教とは考えられていないです。3つまとめて覚える系は以下をご覧ください！	
アメリカ元大統領のリンカーンが「人民の人民による人民のための政治」という演説を行った都市はどこでしょう？	ゲティスバーグ	ゲティスバーグの戦いの跡地でリンカーンが演説を行いました。ペンシルベニア州にある都市です。	
アニメ『サザエさん』に登場するサザエさんの苗字は何でしょう？	フグ田	「磯野」と間違えないように注意しましょう。サザエさんはマスオさんの奥さんなので、マスオさんと同じ苗字です。	
久保田万太郎に師事し、第1回直木賞を『鶴八鶴次郎』などで受賞した日本の小説家は誰でしょう？	川口松太郎	第一回受賞者もよくクイズに出題されます。有名な賞の第一回受賞者は覚えておきましょう！	
現在日本で発行されている硬貨の中で、その額面が唯一漢数字で書かれているのはどれでしょう？	五円玉	五円玉はそれぞれ工業・農業。水産業を象徴する「歯車」「稲穂」「波」が書かれているのも特徴的です。	
『淮南子』に記されている故事が由来となっている、「人生の幸不幸は予測ができない」ということを「人間万事何」というでしょう？	人間万事塞翁が馬	「とある翁が飼っていた馬が逃げてしまいます。しかし、その馬が他の馬を連れて戻ってきます。しかし、彼の息子が馬から落ちて骨折します。しかし、そのおかげで息子は徴兵されずに済みました。」という内容の故事が由来です。	
代表作に『キオス島の虐殺』『民衆を導く自由の女神』などがある、ロマン主義を代表するフランスの画家は誰でしょう？	ドラクロワ	代表作も有名なので、２つとも覚えちゃいましょう。	
祭囃子の小太鼓に合わせて慌ただしく踊る様子から転じて、「休む暇もなく動き回ること」を意味するようになった言葉は何でしょう？	てんてこまい	意外な由来を持つ単語はクイズによく出題されます。	
配達用の段ボールなどに記載されている、「上下逆さまにしてはならない」という意味の四字熟語は何でしょう？	天地無用	字面的には「逆さにしても良い」という意味に思えますが、反対の意味なので気をつけましょう。	
同じ耕地で同じ農作物を2度収穫することを何というでしょう？	二期作	同じ耕地で違う作物を2度収穫することは「二毛作」と言います。混同しないようにしましょう。	
吉原の廓に住む美登利と僧侶の息子信如の淡い恋が描かれた、樋口一葉の代表作は何でしょう？	『たけくらべ 』	樋口一葉の作品で最も有名なものです。有名作家の代表作は覚えておきましょう。	
湖面に空が映しだされることから「天空の鏡」とも呼ばれる、ボリビアに存在する湖は何でしょう？	ウユニ塩湖	とても平坦な土地であることから水が流れていかず、５センチ程度の薄い水が張ることで天空が映し出されます。	
弓道で矢を入れる道具は矢筒といいますが、アーチェリーで矢を入れる道具を何というでしょう？	クイーバー	「ですが」問題です。赤太文字の部分が強調されるのに注意しましょう。	
一般的にベートーベンの三大ピアノソナタと呼ばれるのは、第8番の『悲愴』、第14番の『月光』と第23番の何でしょう？	『熱情』	複数の候補が並べられる「並列問題」です。この場合、番号の最も大きい『熱情』が答えになりやすいです。	
『自然哲学の数学的諸原理』とも呼ばれる、力学の基本法則などが記されたニュートンの著書は何でしょう？	『プリンキピア』	有名人の著作は覚えましょう。ニュートンの提唱した「慣性の法則」「運動方程式」「作用・反作用の法則」や惑星の運動に関する記述があります。	
地獄篇、煉獄篇、天国篇の三部構成になっている、イタリアの詩人ダンテの長編叙事詩は何でしょう？	『神曲しんきょく』	トスカーナ方言で書かれていることが特徴で、現代のイタリア語の基礎となりました。	
マスメディアの選挙予測報道で優勢とされた候補者に更に票が集まることを、「楽隊車」を意味する言葉を使って何効果というでしょう？	バンドワゴン効果	"心理効果もクイズでよく出題される分野です。反対に、劣勢とされた候補者に同情票が集まることを「アンダードッグ効果」と言います。
クイズによく出る効果は以下を参考にしてください。"	
一般的なタロットカードは、大アルカナと小アルカナ合わせて何枚あるでしょう？	78枚	大アルカナが22枚、小アルカナが56枚となっています。それぞれの枚数も覚えましょう。	
南緯47度9分、西経126度43分の海底に位置している、ハワード・フィリップス・ラヴクラフトなどの作品に登場する架空の地名は何でしょう？	ルルイエ	テレビ番組「頭脳王」で緯度と経度だけで問う問題が出て話題になりました。	
ハロゲン化アルキルの合成法に名前を残している化学者でありながら、オペラ『イーゴリ公』なども残しているロシア5人組の1人は誰でしょう？	ボロディン	"化学者でありながら音楽家としての功績も残しているのがすごいですね。
ロシア5人組の覚え方は以下でまとめています。"	
「予め起こる現象を説明してはならない」「同じマジックを繰り返してはならない」「タネ明かしをしてはならない」の３つから成るマジックを行う際の三原則のことを、「何の三原則」というでしょう？	サーストンの三原則	観客のワクワク感を盛り上げるために重要なルールです。	
X線の発見をしたことにより第1回ノーベル物理学賞を受賞しているドイツの物理学者は誰でしょう？	ヴィルヘルム・レントゲン	有名賞の第一回受賞者は覚えましょう。レントゲン写真の由来となった人物です。	
灰皿にある、タバコを挟んで置くためのくぼみのことを何というでしょう？	タバコ休め	「あれの名前」問題です。そのままの名前なので覚えやすいですね。	
パリで生まれ育った女性のことをパリジェンヌといいますが、パリで生まれ育った男性のことを何というでしょう？	パリジャン	「ですが」問題です。パリジェンヌは聞いたことあってもパリジャンは聞いたことない方も多いかもしれません。	
三角錐形の共鳴胴に3本の弦が張られている、ロシアの代表的な弦楽器は何でしょう？	バラライカ	ロシアの音楽家アンドレーエフらによって開発されました。	
「私は、その男の写真を三葉、見たことがある。」という書き出しで始まる太宰治の小説は何でしょう？	『人間失格』	「書き出し問題」です。有名作品の書き出しは覚えるようにしましょう。クイズによく出る書き出しは以下にまとめてあります。	
「めぐり逢ひて　見しやそれとも　わかぬ間に　雲がくれにし　夜半の月かな」という和歌を詠んだ、平安時代の随筆『源氏物語』の著者としても知られる人物は誰でしょう？	紫式部	問題中の和歌は百人一首にも掲載されています。『源氏物語』まで聞くと分かる人も多いと思いますが、和歌の時点で答えられるようにしておきましょう。	
ラテン語で「機械仕掛けの神」という意味がある、演劇などの物語において収拾がつかなくなった局面を、神のような絶対的な力を持つ存在を登場させることによって収束させる演出技法を何というでしょう？	デウス・エクス・マキナ	特にエウリピデスが好んだ手法として知られています。	
四字熟語の五臓六腑の「六腑」とは、大腸・小腸・胆きも・胃・膀胱ともう1つは何でしょう？	三焦	上焦・中焦・下焦の３つからなります。六腑の中で唯一存在しません。	
彼の描いた『印象・日の出』は「印象派」という言葉の由来になった、フランスの画家は誰でしょう？	クロード・モネ	「睡蓮」をモチーフにした作品でも有名です。	
故事成語「漁夫の利」において、ハマグリと争っていた鳥は何でしょう？	シギ	シギとハマグリが争っているところを、漁師が２つとも捕まえたという故事から、「第三者が利益を横取りすること」を意味します	
独自の進化を遂げた固有種が多く存在し、ダーウィンが進化論の着想を得るきっかけとなったエクアドル領の島はどこでしょう？	ガラパゴス諸島	ガラパゴスゾウガメやガラパゴスペンギンなどの固有種が知られています。「ガラケー」の名前の由来であることでも有名です。	
現在のフランスとイギリスの国境線が決定した戦争でもある、1339年から1453年まで続いた戦争は何でしょう？	百年戦争	歴史的な戦争の１つです。ジャンヌ・ダルクが活躍した戦いでも有名です。	
俗に「数学における最も美しい定理」とされている、「eiπ + 1 = 0」という等式を、発見した数学者の名前から「何の等式」というでしょう？	オイラーの等式	オイラーの公式から導き出されます。微積分学で使われるe、代数学で使われるi、幾何学で使われるπが１つの公式に綺麗に纏まっているため「美しい」と言われます。(eはネイピア数、iは虚数単位、πは円周率です。)	
金属元素の中で最も高い融点をもつ、原子番号74、元素記号Wで表される元素は何でしょう？	タングステン	元素記号は最低限でも覚えておきたいところです。融点が高いことも有名ですので覚えておきましょう。元素に関するクイズは以下にまとめてあります。	
ブラジルの国旗に描かれている星の数はいくつでしょう？	27個	ブラジルの26の州と1つの連邦区を表しています。国旗のクイズは以下にまとめてあります。	
前半の「寄合酒」と後半の「田楽喰い」が独立して演じられる古典落語の演目は何でしょう？	ん廻し	「ん」から始まる言葉として有名です。最後の問題なので「ん」から始まる言葉にしてみました。	
常用漢字のうち、総画数が1画なのは「一」と何でしょう？	乙	1問目にぴったりの問題ですね。2画の常用漢字は12個あります。	
創業当時は馬具工房であった、ケリーバッグやバーキンなどの商品で知られるフランスのファッションブランドは何でしょう？	エルメス	馬具工房であったことを押さえておきましょう！	
攻撃側を「レイダー」、守備側を「アンティ」と呼ぶ、インドの国技であるスポーツは何でしょう？	カバディ	インドの国技としては有名です。「レイダー」と「アンティ」も覚えましょう！	
写真シール機の「プリクラ」とは何という言葉の略でしょう？	プリント倶楽部	略語の正式名称はよくクイズに出されます。クイズによく出るものは以下にまとめてあります。	
1867年に徳川慶喜が大政奉還を諮問したことや、鶯張りの廊下があることで知られる、京都市にある城を一般に何というでしょう？	二条城	日本に多くある城はクイズの対象にされやすいです。	
その名はトゥピ語で「大騒音」を意味する、南米のアマゾン川で海水が河口から大逆流する現象は何でしょう？	ポロロッカ	"トゥピ語は南米で使われる言語です。ピラニアやイグアスの滝もトゥピ語が由来です。
クイズによく出る語源問題は以下にまとめてあります。"	
「ではみなさんは、そういうふうに川だと云われたり、乳の流れたあとだと云われたりしていた、このぼんやりと白いものがほんとうは何かご承知ですか」という書き出しで始まる、宮沢賢治の小説は何でしょう？	『銀河鉄道の夜』	有名な書き出し問題です。「ではみなさんは」で答えられるようにしましょう。クイズによく出る書き出しクイズは以下にまとめてあります。	
「目には目を、歯には歯を」の言葉で知られる、紀元前18世紀頃にバビロニアで発布された法典を何というでしょう？	ハンムラビ法典	バビロニアの王の名前が付けられています。日本で生まれたことわざのように感じますが、実際は違うのが面白いですね。	
アルバニアの国旗の中央に描かれている鷲のことを何というでしょう？	スカンデルベクの鷲	赤地に黒い双頭の鷲が描かれているのが特徴的です。国旗に関するクイズは以下にまとめてあります。	
アメリカの国防総省のことを、その庁舎が上から見ると五角形に見えることから英語で通称何というでしょう？	ペンタゴン	五角形を英語でペンタゴンと言います。ちなみに六角形はヘキサゴンです。	
代表作に『悲しき玩具』『一握の砂』がある明治時代に活躍した歌人は誰でしょう？	石川啄木	代表作としてこの2つは押さえておきましょう。『悲しき玩具』は死後に出版されています。	
肉の別名で、「桜肉」と呼ばれるのは何の動物の肉でしょう？	馬	肉の別名はよくクイズに出ます。鹿肉を「紅葉」、猪肉を「牡丹」ということも覚えておきましょう。	
頭頂部の色に特徴があることからその名が付けられた、北海道の道鳥に指定されているツル科の鳥は何でしょう？	タンチョウ	都道府県の鳥や花などはよくクイズに出題されます。前振りで答えられるとgood！	
英語で「花びら」を表す言葉が由来である、炭酸飲料入りペットボトルの底にデザインされている加工を何というでしょう？	ペタロイド	花弁を意味する「petal」が由来です。炭酸の圧力に耐えるためにこのような構造になっています。	
炭素におけるダイヤモンド、黒鉛、フラーレンなどが例として挙げられる、構成元素が同じでも元素の結合の形や数により性質が異なる単体のことを何というでしょう？	同素体	同素体をもつ元素としては、硫黄・炭素・酸素・リンが挙げられます。元素記号で「SCOP(スコップ)」と覚えましょう。	
書物を出版することを、ある植物の名前を用いて何というでしょう？	上梓	昔の中国では梓の木を版木に用いて印刷したために、このような言葉が生まれました。	
ニコラ・サルヴィによって設計された、後ろ向きにコインを入れると願いが叶うという言い伝えで知られる、ローマの観光名所は何でしょう？	トレヴィの泉	各地の観光名所はクイズでよく出題されます。世界遺産などもあわせてチェックしましょう！	
「朕は国家なり」という言葉で知られる、「太陽王」と呼ばれるブルボン朝の国王は誰でしょう？	ルイ14世	「朕は国家なり」で押せるようにしましょう。	
749年に使用された、日本で最初の漢字4文字の元号は何でしょう？	天平感宝	日本の元号で、漢字4文字のものは「天平感宝」「天平勝宝」「天平宝字」「天平神護」「神護景雲」です。	
「僕は三十七歳で、そのときボーイング747のシートに座っていた」という書き出しで始まる、村上春樹の5作目の長編小説は何でしょう？	『ノルウェイの森』	これも書き出し問題です。村上春樹さんの作品は有名なものが多いので押さえておきましょう！	
世界三大ブルーチーズとは、ゴルゴンゾーラ、ロックフォールと何でしょう？	スティルトン	「三大〇〇」はよくクイズに狙われます。以下のサイトも参照してください！	
日本で1番目の元号は大化ですが、2番目の元号は何でしょう？	白雉	「ですが」が含まれるパラレル問題です。「1番目」が強調して読まれます。パラレル問題に関しては以下のサイトで！	
ナフタレンやヨウ素、二酸化炭素などに見られる、固体から気体に、もしくは気体から固体に変化する状態変化のことを、漢字2文字で何というでしょう？	昇華	「ナフタレンやヨウ素、二酸化炭素」の時点で答えたい問題です。常圧で昇華が見られる物質は少ないです。	
気象用語で、最低気温が0℃未満の日のことを何というでしょう？	冬日	夏日・冬日・真夏日・真冬日など、「?日」はしっかりと覚えましょう。	
世界で初めて人工雪を作った人物で、「雪は天からの手紙である」という言葉でも知られる人物は誰でしょう？	中谷宇吉郎	「雪は天からの手紙である」が有名な言葉です。	
ボッシュとともにアンモニアの合成法に名前を残しているドイツの化学者は誰でしょう？	フリッツ・ハーバー	アンモニアの合成法を「ハーバー・ボッシュ法」と言います。一般的には高校化学で習います。	
その戦略性の高さから「氷上のチェス」とも呼ばれるスポーツは何でしょう？	カーリング	スポーツの別名もクイズでよく出るところです。	
NASAやNATOなどのように、連なったアルファベットを通常の単語と同じように発音するアルファベットの略語のことを何というでしょう？	アクロニム	逆に、「FBI」などのようにアルファベットを1文字ずつ読む略語を「イニシャリズム」と言います。	
自身は変化しないが、化学反応の速度を大きくする物質のことを何というでしょう？	触媒	「自身は変化しないが」がポイントです。化学反応の速度を上げるだけということですね。	
悪妻の代名詞として知られる、哲学者ソクラテスの妻の名前は何でしょう？	クサンティッペ	「悪妻の代名詞」で答えられるようにしましょう。ソクラテスの名言「悪妻をもてば哲学者になれる」も覚えましょう。	
英語で「居眠り」という意味がある、一度アラームを止めても一定時間後に再びアラームが鳴る目覚まし時計の機能を何というでしょう？	スヌーズ	時計に関する雑学はクイズによく出ます。アラーム時刻を設定する「目安針」、腕時計の横についている「竜頭」などです。	
日本で最初の女性天皇は推古天皇ですが、最後の女性天皇は誰でしょう？	後桜町天皇	パラレル問題です。日本の女性天皇は10人なので、全員覚えましょう。	
日本の村としては最も人口が多い、沖縄本島にある村は何でしょう？	読谷村	「最も人口が多い/少ない」「最も面積が大きい/小さい」はクイズの大好物です。沖縄県の村は読み方が難しいですね。	
「奇跡の１マイル」と呼ばれる、那覇市にある約1.6キロメートルの通りを何というでしょう？	国際通り	別名だけで答えられるようにしましょう。長さが約1マイルとなっています。	
コーヒー豆の三大品種といえば、アラビカ種、リベリカ種ともう1つは何でしょう？	ロブスター種	三大〇〇です。3つとも答えられるようにしましょう。3つまとめて覚える系は下記サイトをご参照ください。	
化学式C11H17N3O8で表される、フグの卵巣に含まれる毒は何でしょう？	テトロドトキシン	化学式で答えるのは少し難しいので、フグの卵巣のところでは押せるようにしましょう。	
別名「ローゼンタール効果」という、教師の高い期待によって生徒の成績が向上することを何効果というでしょう？	ピグマリオン効果	"ローゼンタールが提唱しました。逆に、教師の低い期待によって生徒の成績も低下してしまうことを「ゴーレム効果」と言います。
クイズによく出る効果については以下を参考にしてください。"	
pH指示薬の1つであるBTB溶液の「BTB」とは、何という言葉の略でしょう？	ブロモチモールブルー	略語の正式名称問題です。酸性で黄色、中性で緑色、アルカリ性で青色なのも覚えておきましょう。	
金魚すくいに使われる、和紙を張ったすくい網のことを何というでしょう？	ポイ	「見たことあるけど名前を知らないもの」はよくクイズで聞かれます。「あれの名前」については以下のサイトをチェック！	
フィリピンの第7代大統領の名前がつけられた、「アジアのノーベル賞」と呼ばれる賞は何でしょう？	マグサイサイ賞	アジアで社会貢献などに傑出した功績を果たした個人や団体に対して贈られる賞です。有名な受賞者としては黒澤明やマザー・テレサなどが挙げられます。	
技術革新によって約50年の周期で訪れる景気の波を、ロシアの経済学者の名前から「何の波」というでしょう？	コンドラチェフの波	景気循環の波は他にもいくつかあるので、区別して覚えましょう。	
間口が狭く奥行きが長い住居のことを、ある魚に例えて何というでしょう？	うなぎの寝床	ベタ問として有名です。「間口が狭く」で押しちゃいましょう	
犬のチワワや調味料のタバスコの原産地はどこの国でしょう？	メキシコ	メキシコにはチワワ州やタバスコ州があります。	
英語で「スプリングロール」は春巻きのことですが、「サマーロール」は何のことでしょう？	生春巻き	スプリングロールはそのまま春巻きという感じですが、サマーにすると生春巻きになるのが面白いですね。	
英語で「サンフラワー」は「ひまわり」のことですが、「サフラワー」は何のことでしょう？	ベニバナ	有名なパラレル問題です。サンフラワーとサフラワーが非常に似ているのでよく出ます。	
イタリア語で「礼拝堂風に」という意味を持つ、楽器の伴奏を伴わない合唱曲のことを何というでしょう？	アカペラ	"「礼拝堂風に」で答えられるようにしましょう。
語源問題は以下にまとめてあります。"	
ウォッカとオレンジジュースで作るカクテルのことを、マドラーの代わりにある工具を使用していたことから何というでしょう？	スクリュードライバー	お酒はどうやって作られるかと名前の由来をセットで覚えましょう！	
旭酒造が製造しているお酒の名前にもなっている、文献を机に並べて調査することをカワウソの習性にたとえて何というでしょう？	獺祭	カワウソが魚をずらりと並べる習性からこう呼ばれます。「獺」で「カワウソ」と読みます。	
ダイヤモンドの品質を表す「4つのC」とは、カット・カラー・カラットともう1つは何でしょう？	クラリティ	透明度の意味です。最もマイナーなクラリティが聞かれやすいです。	
ボウリングでパーフェクトを達成した時のスコアはいくつでしょう？	300点	全10回で30点ずつ入るので300点になります。みなさんもこの50問でのパーフェクトを目指しましょう！	
俗に「液体のパン」と呼ばれる、居酒屋で「とりあえずの一杯」としてよく飲まれるお酒は何でしょう？	ビール	ビールの起源がパンを水に入れて発酵させたことからこう呼ばれるそうです。とりあえずの1問目です。	
54年8ヶ月6日5時間32分20秒3というオリンピックマラソンにおける最長記録をもっている、日本の元陸上選手は誰でしょう？	金栗四三	日本が初めて参加した第5回ストックホルムオリンピックに出場しました。しかし、マラソン中に行方不明となりました。彼がゴールしたのは55年後の1967年。ストックホルムオリンピック委員会から招待され、記念行事の一環としてゴールを果たしました。	
「明けの明星」や「宵の明星」といえば、何という惑星のことでしょう？	金星	金星は地球の1つ内側を回っている惑星です。そのことから明け方と夕方にはっきりと見ることができるため、このような呼ばれ方をします。	
中国前漢時代の歴史家で、歴史書『史記』を完成させたのは誰でしょう？	司馬遷	『史記』は二十四史と呼ばれるものの一つで、『漢書』とともに高い評価を得ています。元号の出典としても12回選ばれています。	
女房言葉で、「卯の花」といえばおからのことですが、「波の花」といえば何のことでしょう？	塩	室町時代初期頃から宮中や院に仕える女房が使い始め、その一部は現在でも用いられる隠語的な言葉のことです。赤字のところが強調される部分です。「ですが」を含む「パラレル問題」については以下のサイトをご覧ください。	
別名「類像現象」という、逆三角形に並んだ点を人の顔として認識してしまう現象を何というでしょう？	シミュラクラ現象	心霊写真のほとんどがこの現象で説明できるとされています。こういった心理学用語はクイズで聞かれやすいです。	
最後はスイセンの花に変身した、「ナルシスト」という言葉の由来となった　ギリシャ神話の人物は誰でしょう？	ナルキッソス	ナルキッソスは罰で自分のことしか愛せなくなります。そして水面に映った自分に恋をして水に落ちて死んでしまいます。死んだ後、そこにはスイセンが咲いており、そこからスイセンの学名は「Narcissus」となりました。	
世界で1番高い山はエベレスト、2番目に高い山はK2ですが、3番目に高い山は何でし	カンチェンジュンガ	3番目くらいまではベタ問として覚えておくといいでしょう。山に関するクイズは以下を参照してください！	
彼の在位時にローマ帝国の領土が最大となった、ローマ五賢帝の1人は誰？	トラヤヌス	ローマ五賢帝は以下の記事で覚えましょう。	
オークションの形式で、売り手が価格を次第に下げていく形式を何というでしょう？	ダッチオークション	買い手が価格を次第に上げていく「イングリッシュオークション」と混合しないように注意しましょう。	
